timestamp_ms,ax_g,ay_g,az_g,label
10074,0.6392,-0.2489,1.274,0
10084,0.676,-0.1921,1.2854,0
10094,0.6231,-0.1437,1.2481,0
10104,0.5106,-0.1452,1.1688,0
10114,0.4005,-0.1894,1.0206,0
10124,0.3431,-0.2436,0.8015,0
10134,0.2692,-0.3192,0.6536,0
10144,0.1308,-0.3978,0.6621,0
10154,0.0837,-0.4361,0.6223,0
10164,0.0725,-0.4239,0.5677,0
10174,0.0632,-0.4125,0.5628,0
10184,0.0993,-0.3944,0.5586,0
10194,0.2099,-0.35,0.5101,0
10204,0.3065,-0.3051,0.501,0
10214,0.3517,-0.3046,0.5264,0
10224,0.3634,-0.3204,0.5377,0
10234,0.3397,-0.3363,0.595,0
10244,0.3341,-0.3131,0.5845,0
10254,0.3358,-0.2868,0.4886,0
10264,0.257,-0.2875,0.4361,0
10274,0.224,-0.2865,0.38,0
10284,0.2443,-0.2875,0.2977,0
10294,0.2209,-0.2956,0.2655,0
10304,0.1306,-0.3121,0.3141,0
10314,0.0093,-0.3268,0.3688,0
10324,-0.0632,-0.3534,0.378,0
10334,-0.0681,-0.3522,0.3485,0
10344,-0.022,-0.3656,0.3148,0
10354,0.0117,-0.3929,0.3595,0
10364,0.0063,-0.4332,0.4949,0
10374,0.0229,-0.4996,0.6511,0
10384,0.0481,-0.5643,0.8127,0
10394,0.0935,-0.6436,1.0119,0
10404,0.1911,-0.6926,1.2305,0
10414,0.3644,-0.7031,1.4004,0
10424,0.575,-0.6907,1.5254,0
10434,0.748,-0.6736,1.6679,0
10444,0.8801,-0.6499,1.7767,0
10454,0.9709,-0.627,1.8026,0
10464,0.984,-0.616,1.7453,0
10474,0.8964,-0.6189,1.6584,0
10484,0.7266,-0.6426,1.5629,0
10494,0.5445,-0.6507,1.4182,0
10504,0.3917,-0.6453,1.2332,0
10514,0.2626,-0.6092,1.0604,0
10524,0.1291,-0.5545,0.9587,0
10534,0.0195,-0.4784,0.9128,0
10544,-0.0283,-0.3922,0.8483,0
